origin;destination;count;waypointsLong;waypointsLat
1;2;1;8.507412548555335 8.499350999999999 8.501876699999999 8.5261893 8.5375829 8.538854370833334;47.40839137110055 47.4021919 47.401241600000006 47.3884151 47.3803268 47.38246841666667
2;2;1;8.538854370833334 8.538854370833334;47.38246841666667 47.38246841666667
2;3;1;8.538854370833334 8.541224699999999 8.5434129 8.544162 8.5436311 8.538804800000001 8.5383595 8.5335991 8.535155900000001 8.520901199999999 8.5114523 8.5041419 8.5025875 8.499841443064994;47.38246841666667 47.3821239 47.3805803 47.3800105 47.3824521 47.392405600000004 47.392321200000005 47.39817539999999 47.4021149 47.4136204 47.4164183 47.419954700000005 47.4209653 47.421013358780385
3;1;1;8.499841443064994 8.4987919 8.4965524 8.501877499999999 8.507412548555335;47.421013358780385 47.4202646 47.4178171 47.4086876 47.40839137110055
1;1;1;8.507412548555335 8.507412548555335;47.40839137110055 47.40839137110055
1;3;1;8.507412548555335 8.5066634 8.499841443064994;47.40839137110055 47.407849600000006 47.421013358780385
3;1;1;8.499841443064994 8.497367599999999 8.4960809 8.5012246 8.507055099999999 8.507412548555335;47.421013358780385 47.418508700000004 47.41740720000001 47.408916999999995 47.4082593 47.40839137110055
1;1;1;8.507412548555335 8.507412548555335;47.40839137110055 47.40839137110055
1;3;1;8.507412548555335 8.5106781 8.509053399999999 8.5086929 8.499841443064994;47.40839137110055 47.406808000000005 47.407311799999995 47.409686900000004 47.421013358780385
3;3;1;8.499841443064994 8.507810800000001 8.505066099999999 8.499841443064994;47.421013358780385 47.4196769 47.420553999999996 47.421013358780385
3;3;1;8.499841443064994 8.5022556 8.499841443064994;47.421013358780385 47.4208992 47.421013358780385
4;2;1;8.546461364285715 8.5465908 8.5445082 8.538854370833334;47.37660243333333 47.3760269 47.3791228 47.38246841666667
2;3;1;8.538854370833334 8.5418204 8.540593099999999 8.539808500000001 8.5334196 8.524518800000001 8.5131971 8.5044633 8.499841443064994;47.38246841666667 47.3820605 47.3838928 47.385320799999995 47.398031599999996 47.4120576 47.415678899999996 47.4198398 47.421013358780385
3;3;1;8.499841443064994 8.499841443064994;47.421013358780385 47.421013358780385
3;3;1;8.499841443064994 8.4994668 8.5023395 8.500992 8.499841443064994;47.421013358780385 47.4216645 47.420854999999996 47.42111679999999 47.421013358780385
3;3;1;8.499841443064994 8.5052085 8.5070021 8.499841443064994;47.421013358780385 47.4194922 47.4202349 47.421013358780385
3;3;1;8.499841443064994 8.498422900000001 8.5023495 8.499841443064994;47.421013358780385 47.4209796 47.4208842 47.421013358780385
3;3;1;8.499841443064994 8.499841443064994;47.421013358780385 47.421013358780385
5;6;1;8.45618101496828 8.4647898303125;47.39906608068079 47.3926001303125
6;5;1;8.4647898303125 8.4652659 8.4608899 8.45618101496828;47.3926001303125 47.3954781 47.398453100000005 47.39906608068079
5;3;1;8.45618101496828 8.448106 8.448031 8.4482105 8.4612063 8.479905800000001 8.4835055 8.499841443064994;47.39906608068079 47.3970446 47.4020736 47.4094717 47.4096151 47.405162700000005 47.414156 47.421013358780385
3;1;1;8.499841443064994 8.4989246 8.49718 8.4955373 8.5003039 8.5069418 8.507412548555335;47.421013358780385 47.4199339 47.41833870000001 47.415696999999994 47.4092032 47.4076395 47.40839137110055
1;1;1;8.507412548555335 8.507412548555335;47.40839137110055 47.40839137110055
1;1;1;8.507412548555335 8.507412548555335;47.40839137110055 47.40839137110055
1;1;1;8.507412548555335 8.507412548555335;47.40839137110055 47.40839137110055
1;1;1;8.507412548555335 8.507412548555335;47.40839137110055 47.40839137110055
1;3;1;8.507412548555335 8.509089 8.5072394 8.503600099999998 8.4983388 8.499841443064994;47.40839137110055 47.4072805 47.4080003 47.4091129 47.4188552 47.421013358780385
3;3;1;8.499841443064994 8.5005795 8.499841443064994;47.421013358780385 47.4211088 47.421013358780385
3;3;1;8.499841443064994 8.499841443064994;47.421013358780385 47.421013358780385
3;1;1;8.499841443064994 8.4974454 8.5011982 8.5067496 8.507412548555335;47.421013358780385 47.418657399999994 47.408971799999996 47.4076273 47.40839137110055
1;1;1;8.507412548555335 8.507412548555335;47.40839137110055 47.40839137110055
1;3;1;8.507412548555335 8.506236999999999 8.5021891 8.499841443064994;47.40839137110055 47.4132634 47.4195779 47.421013358780385
3;8;1;8.499841443064994 8.5001465 8.426651912499999;47.421013358780385 47.4223929 47.3804596775
8;3;1;8.426651912499999 8.418936500000001 8.4210411 8.502338 8.499841443064994;47.3804596775 47.3895889 47.3995088 47.4208976 47.421013358780385
3;1;1;8.499841443064994 8.4972005 8.5052228 8.507412548555335;47.421013358780385 47.4185402 47.408393 47.40839137110055
1;1;1;8.507412548555335 8.507412548555335;47.40839137110055 47.40839137110055
1;1;1;8.507412548555335 8.507412548555335;47.40839137110055 47.40839137110055
1;1;1;8.507412548555335 8.5084739 8.507412548555335;47.40839137110055 47.4078239 47.40839137110055
1;3;1;8.507412548555335 8.5078358 8.509735699999998 8.5064914 8.498675 8.499841443064994;47.40839137110055 47.408262799999996 47.4135396 47.419196 47.4210458 47.421013358780385
3;1;1;8.499841443064994 8.5019692 8.5058266 8.505413 8.502734199999999 8.5050298 8.507412548555335;47.421013358780385 47.42099210000001 47.4192842 47.417890299999996 47.412420000000004 47.4106723 47.40839137110055
1;1;1;8.507412548555335 8.507412548555335;47.40839137110055 47.40839137110055
1;1;1;8.507412548555335 8.507412548555335;47.40839137110055 47.40839137110055
1;3;1;8.507412548555335 8.507613300000001 8.506669 8.507691099999999 8.506669 8.499841443064994;47.40839137110055 47.41081629999999 47.4161903 47.4197359 47.4161903 47.421013358780385
3;3;1;8.499841443064994 8.5065901 8.500608999999999 8.499841443064994;47.421013358780385 47.419586100000004 47.4211011 47.421013358780385
3;3;1;8.499841443064994 8.5027347 8.5028276 8.527431800000002 8.5660931 8.5702955 8.570482199999999 8.5742679 8.5913184 8.617090600000001 8.6338034 8.6502727 8.6718722 8.6783087 8.699242100000001 8.721192199999999 8.7298921 8.722621400000001 8.683657499999999 8.654914 8.492238699999998 8.499841443064994;47.421013358780385 47.4205779 47.4205174 47.433587599999996 47.4247071 47.44713 47.4378034 47.414212799999994 47.4075537 47.41035720000001 47.412366600000006 47.4022851 47.394735299999994 47.3850247 47.3735936 47.3636528 47.359891 47.352443900000004 47.382264899999996 47.399232299999994 47.4269856 47.421013358780385
3;5;1;8.499841443064994 8.4984609 8.496918199999998 8.4949962 8.4829172 8.4589745 8.4611046 8.45618101496828;47.421013358780385 47.4209841 47.418212700000005 47.413284000000004 47.4176833 47.405322999999996 47.398612799999995 47.39906608068079
3;3;1;8.499841443064994 8.500485000000001 8.500956 8.498895599999999 8.4998854 8.4982944 8.498411599999999 8.499841443064994;47.421013358780385 47.421188799999996 47.4217349 47.423028 47.4222646 47.4207694 47.4209739 47.421013358780385
3;1;1;8.499841443064994 8.4991509 8.497011800000001 8.507412548555335;47.421013358780385 47.4196606 47.4183776 47.40839137110055
1;1;1;8.507412548555335 8.507412548555335;47.40839137110055 47.40839137110055
1;1;1;8.507412548555335 8.507412548555335;47.40839137110055 47.40839137110055
1;3;1;8.507412548555335 8.5109508 8.5088596 8.5070439 8.499841443064994;47.40839137110055 47.4068697 47.4074376 47.4161948 47.421013358780385
3;3;1;8.499841443064994 8.499841443064994;47.421013358780385 47.421013358780385
3;5;1;8.499841443064994 8.500434 8.4829287 8.4585254 8.4619609 8.45618101496828;47.421013358780385 47.4186848 47.4170547 47.4039779 47.4011872 47.39906608068079
5;6;1;8.45618101496828 8.4585488 8.465144 8.4647898303125;47.39906608068079 47.3993072 47.394489899999996 47.3926001303125
6;10;1;8.4647898303125 8.4691445 8.4940981 8.4876349 8.4980264 8.4989515 8.496100969999999;47.3926001303125 47.389207299999995 47.396171200000005 47.4023752 47.4019956 47.4020844 47.40243909
10;3;1;8.496100969999999 8.493801 8.499841443064994;47.40243909 47.4049106 47.421013358780385
3;1;1;8.499841443064994 8.498456599999999 8.506186999999999 8.5063912 8.509656699999999 8.5068505 8.507776400000001 8.507412548555335;47.421013358780385 47.420957200000004 47.4192458 47.4179089 47.412011799999995 47.4080369 47.409109 47.40839137110055
1;1;1;8.507412548555335 8.507093 8.507412548555335;47.40839137110055 47.4084648 47.40839137110055
1;1;1;8.507412548555335 8.507412548555335;47.40839137110055 47.40839137110055
1;1;1;8.507412548555335 8.507412548555335;47.40839137110055 47.40839137110055
1;1;1;8.507412548555335 8.5077309 8.507412548555335;47.40839137110055 47.4091176 47.40839137110055
3;1;1;8.499841443064994 8.499885 8.5050445 8.5106509 8.519095 8.5198259 8.507412548555335;47.421013358780385 47.4214211 47.4195458 47.416797499999994 47.4141184 47.414744299999995 47.40839137110055
1;1;1;8.507412548555335 8.507641099999999 8.507412548555335;47.40839137110055 47.4091081 47.40839137110055
1;1;1;8.507412548555335 8.507412548555335;47.40839137110055 47.40839137110055
1;1;1;8.507412548555335 8.507412548555335;47.40839137110055 47.40839137110055
1;1;1;8.507412548555335 8.5086989 8.507412548555335;47.40839137110055 47.40972 47.40839137110055
1;1;1;8.507412548555335 8.5085189 8.507412548555335;47.40839137110055 47.407983 47.40839137110055
1;3;1;8.507412548555335 8.5082769 8.508125699999999 8.508839100000001 8.5077261 8.506024499999999 8.5006296 8.499841443064994;47.40839137110055 47.4080709 47.408852200000005 47.4116307 47.415727200000006 47.4193467 47.421375 47.421013358780385
3;3;1;8.499841443064994 8.5074431 8.516077000000001 8.545309 8.5453759 8.5445771 8.5396442 8.499841443064994;47.421013358780385 47.4210343 47.4149705 47.413819200000006 47.4124217 47.4125006 47.413506299999995 47.421013358780385
3;5;1;8.499841443064994 8.4977252 8.4953644 8.483033 8.4706363 8.4617766 8.456547 8.4561769 8.4561785 8.45618101496828;47.421013358780385 47.4188079 47.41628 47.4171971 47.4126456 47.3995603 47.3989164 47.398893799999996 47.399009 47.39906608068079
5;10;1;8.45618101496828 8.4561511 8.4588943 8.4683249 8.4865103 8.4945921 8.496100969999999;47.39906608068079 47.3990279 47.399347 47.3995755 47.397041200000004 47.4000781 47.40243909
10;3;1;8.496100969999999 8.4971211 8.498892199999998 8.5004432 8.5028437 8.5017674 8.499841443064994;47.40243909 47.403661799999995 47.40305120000001 47.4041529 47.405427 47.40886810000001 47.421013358780385
3;1;1;8.499841443064994 8.4977737 8.4964924 8.5023314 8.507412548555335;47.421013358780385 47.4188061 47.4179153 47.408525399999995 47.40839137110055
1;1;1;8.507412548555335 8.507412548555335;47.40839137110055 47.40839137110055
1;1;1;8.507412548555335 8.507412548555335;47.40839137110055 47.40839137110055
1;1;1;8.507412548555335 8.506270599999999 8.507412548555335;47.40839137110055 47.408514000000004 47.40839137110055
1;3;1;8.507412548555335 8.5046757 8.495787400000001 8.499841443064994;47.40839137110055 47.408720200000005 47.413349600000004 47.421013358780385
3;11;1;8.499841443064994 8.500071400000001 8.4830516 8.4184353 8.4446063 8.4511324 8.451103199999999 8.434878688690477;47.421013358780385 47.4222222 47.4242595 47.3952641 47.2559149 47.1224301 47.1018989 47.08599443785714
