id,startTime,endTime,NumDays,NumPoints,AvgNumPoints,TotalDist,AvgDist,phoneModel
1,2020-01-01,2020-04-30,101,2922,28.93069307,6107.304634,60.46836271,iPhone
2,2020-01-31,2020-05-15,78,5972,76.56410256,118.7235556,1.522096866,Oneplus
3,2020-04-03,2020-04-29,26,159,6.115384615,33.81301527,1.300500587,iPhone
4,2020-01-22,2020-02-29,39,13409,343.8205128,10580.04422,271.2831852,Huawei
5,2020-03-24,2020-05-02,26,149,5.730769231,41.63447765,1.601326064,iPhone
6,2020-03-24,2020-05-02,37,917,24.78378378,885.0388474,23.91996885,iPhone
7,2020-01-01,2020-05-16,70,534,7.628571429,50.25800926,0.717971561,iPhone
17,2020-01-01,2020-05-02,80,1803,22.5375,3998.594411,49.98243014,iPhone
20,2020-01-01,2020-04-29,71,1810,25.49295775,4780.207758,67.32686983,iPhone
25,2020-01-01,2020-05-04,125,191809,1534.472,20734.04305,165.8723444,Xiaomi
28,2020-01-01,2020-05-08,123,20914,170.0325203,84443.94064,686.5361028,Xiaomi
