group,1,2,3,4,5,6,7,8,9
0,34.02444444444444,5.0,0.0,0.0,2.0,0.0,9.0,0.0,0.0
1,35.0,5.0,0.0,0.0,2.0,0.0,9.0,0.0,0.0
2,35.0,5.0,0.0,0.0,2.0,0.0,9.0,0.0,0.0
3,35.0,5.0,0.0,0.0,2.0,0.0,9.0,0.0,0.0
4,35.0,5.0,0.0,0.0,2.0,0.0,9.0,0.0,0.0
5,35.0,5.0,0.0,0.0,2.0,0.0,9.0,0.0,0.0
6,35.0,5.0,0.0,0.0,2.0,0.0,9.219722222222222,0.0,0.0
7,34.153333333333336,10.777222222222223,1.8144444444444445,0.06388888888888888,2.0,0.0,3.9158333333333335,0.0,0.0
8,31.99972222222222,3.7005555555555554,0.8408333333333333,2.5108333333333333,2.0,0.0,1.0,0.0,0.0
9,31.426666666666666,5.137777777777778,0.8619444444444444,3.1375,2.0,0.4622222222222222,1.0533333333333332,0.0,0.7963888888888889
10,31.0,4.0,0.0,4.0,1.1188888888888888,1.0,1.0,0.0,0.40444444444444444
11,30.80638888888889,4.0,0.8711111111111111,3.128888888888889,1.0,0.20583333333333334,1.0,0.0,0.0
12,28.838333333333335,3.4522222222222223,1.9677777777777778,3.783333333333333,1.0,0.0,1.0,0.0,0.385
13,29.596944444444443,3.0,1.156111111111111,4.0,0.0,0.0,1.791111111111111,0.8347222222222223,0.8372222222222222
14,29.190277777777776,2.790277777777778,1.0,4.0,0.0,0.0,1.7775,0.8561111111111112,0.09666666666666666
15,29.718333333333334,3.0,1.0,3.714722222222222,0.7788888888888889,0.5647222222222222,1.0,0.5847222222222223,0.0
16,31.273888888888887,3.0,1.0,3.4525,1.6152777777777778,0.043055555555555555,1.0,1.0,0.0
17,29.886111111111113,3.9494444444444445,1.7822222222222222,1.4583333333333333,1.0,1.4030555555555555,1.4141666666666666,1.3933333333333333,0.0
18,28.83361111111111,4.460555555555556,1.9566666666666668,0.0,1.0333333333333334,0.0,2.9066666666666667,2.540277777777778,0.0
19,30.701944444444443,5.972222222222222,0.8525,0.0,1.3105555555555555,0.0,3.0,2.0,0.0
20,32.0,5.692777777777778,0.0,0.0,2.0,0.0,3.3072222222222223,1.5958333333333334,0.0
21,32.43222222222222,5.951666666666667,0.7275,0.0,2.0,0.0,5.351111111111111,0.5647222222222222,0.0
22,33.47361111111111,5.326666666666667,0.0,0.0,2.0,0.0,8.343055555555555,0.0,0.0
23,34.0,5.0,0.0,0.0,2.0,0.0,9.0,0.0,0.0
