,name,dist,distPerc,co2km,co2Total,co2Perc
7,Skiing,74.012,0.0204,-100.0,-7401.2,1.037
0,by Bike,127.169,0.0351,0.0,0.0,-0.0
3,Walking,52.648,0.0145,0.0,0.0,-0.0
4,Running,6.601,0.0018,0.0,0.0,-0.0
9,by Tram,12.858,0.0035,0.042,0.5400360000000001,-0.0001
8,by Subway,5.71,0.0016,0.065,0.37115000000000004,-0.0001
5,by Ferry,24.168,0.0067,0.115,2.7793200000000002,-0.0004
6,by Bus,503.122,0.1389,0.069,34.71541800000001,-0.0049
2,by Car,627.886,0.1733,0.133,83.508838,-0.0117
1,by Train,2188.409,0.6041,0.065,142.246585,-0.0199
