origin;destination;waypointsLong;waypointsLat
1;1;7.078784450714286 7.078784450714286;46.10734969119047 46.10734969119047
1;2;7.078784450714286 7.8808905 8.625726 8.6252421 8.625292199999999 8.62566198409091;46.10734969119047 46.2939689 47.4387222 47.4412576 47.439765799999996 47.438623920454546
2;3;8.62566198409091 8.543910396874999;47.438623920454546 47.411929693750004
3;4;8.543910396874999 8.525410699999998 8.5162569 8.507454146666667;47.411929693750004 47.414099 47.4124716 47.4084044
4;4;8.507454146666667 8.507454146666667;47.4084044 47.4084044
4;3;8.507454146666667 8.543910396874999;47.4084044 47.411929693750004
3;5;8.543910396874999 6.909822610000001;47.411929693750004 46.44309771
5;5;6.909822610000001 6.909822610000001;46.44309771 46.44309771
5;1;6.909822610000001 6.908509700000001 6.9100322 6.9097865999999994 6.9629071 6.965531200000001 6.9749039999999995 7.011466599999999 7.0246040999999995 7.0442615 7.078734299999999 7.078784450714286;46.44309771 46.443017499999996 46.4404079 46.4374327 46.3177552 46.313179299999994 46.2716817 46.2024867 46.1718316 46.1330003 46.1060439 46.10734969119047
1;1;7.078784450714286 7.063500200000001 7.0718322 7.078784450714286;46.10734969119047 46.095839399999996 46.103036700000004 46.10734969119047
1;1;7.078784450714286 7.2463802 7.242455099999999 7.2483325 7.254929700000001 7.2540868000000005 7.2494076000000005 7.240114900000001 7.234182700000001 7.232962700000001 7.231049499999999 7.224128200000001 7.2124621 7.1571887 7.100525900000001 7.0839565 7.058488099999999 7.0719104999999995 7.0857299 7.078784450714286;46.10734969119047 46.096518200000006 46.0978305 46.095031299999995 46.0923406 46.0934679 46.0952561 46.095806599999996 46.0932297 46.0937245 46.091646000000004 46.086131200000004 46.08120220000001 46.081724799999996 46.08230820000001 46.0782032 46.0864359 46.0944983 46.1072666 46.10734969119047
1;1;7.078784450714286 7.078784450714286;46.10734969119047 46.10734969119047
1;1;7.078784450714286 7.030332799999999 6.9910064 7.005927499999999 7.040278999999999 7.0544569 7.055453999999999 7.056075 7.042214599999999 7.0282217000000005 7.0252864 6.998153200000001 6.9706265 6.9551543 6.9386470000000005 6.9034273 6.8910024000000005 6.8895726999999995 6.8781193 6.859416599999999 6.8612985 6.860193499999999 6.8902811 6.890801700000001 6.8990467 6.9193949 6.979804799999999 6.998258900000001 7.0231672000000005 7.029205 7.0343329 7.0531356 7.055028900000001 7.056250599999999 7.0567164 7.0545023 7.0522508 7.0523067 7.054423700000001 7.054114599999999 7.0555837 7.057821799999999 7.059924799999999 7.066024900000001 7.084969500000001 7.0805394 7.0799748 7.085099799999999 7.0724196 7.1032432 7.0961023 7.0904181 7.1157648 7.104971000000001 7.098442599999999 7.0991468 7.075605099999999 7.073881299999999 7.0884409 7.1182679 7.148884700000001 7.1519962 7.1404881 7.154872200000001 7.132723299999999 7.1408068 7.1327463 7.1207313999999995 7.0880405 7.0849035 7.0724594 7.0633156 7.064604400000001 7.075041000000001 7.063894 7.0549857000000005 7.0539004 7.056312299999999 7.0557988 7.052831200000001 7.053069099999999 7.0547493 7.0434109 7.0271622 6.9635197 7.078784450714286;46.10734969119047 46.1491391 46.2983208 46.2909929 46.2987528 46.304674299999995 46.2966807 46.2957574 46.300715000000004 46.2922912 46.283246000000005 46.2965204 46.303658899999995 46.317968900000004 46.32120020000001 46.3106284 46.3302097 46.3416254 46.361223200000005 46.3812446 46.3900482 46.387308000000004 46.3339447 46.332221399999995 46.3136844 46.3162635 46.3009449 46.2966103 46.2817309 46.29015510000001 46.2949192 46.303321000000004 46.3021008 46.3000814 46.2956956 46.2979468 46.299819 46.3016166 46.3028502 46.303843900000004 46.305018 46.3095025 46.3140695 46.324352000000005 46.3207033 46.327306400000005 46.32992670000001 46.3206331 46.3193778 46.296159499999995 46.294083799999996 46.298062 46.294265 46.2954408 46.290002799999996 46.2945312 46.3225531 46.323257700000006 46.3222815 46.3331953 46.34672929999999 46.343917 46.3372652 46.3459363 46.3321898 46.3375651 46.332190600000004 46.3340665 46.3262018 46.3209528 46.32092670000001 46.3248855 46.3237156 46.3080512 46.3067524 46.3035666 46.3029166 46.3000656 46.2987732 46.2993965 46.3021322 46.303357 46.3010236 46.2866631 46.31630429999999 46.10734969119047
1;1;7.078784450714286 7.078784450714286;46.10734969119047 46.10734969119047
1;1;7.078784450714286 7.0752657999999995 7.070734900000001 7.077281200000001 7.078784450714286;46.10734969119047 46.1031472 46.100637299999995 46.1045277 46.10734969119047
1;1;7.078784450714286 7.078784450714286;46.10734969119047 46.10734969119047
1;1;7.078784450714286 7.240450599999999 7.2692688 7.359232899999999 7.3771261 7.3992195999999995 7.400212599999999 7.396998599999999 7.394620599999999 7.403027799999999 7.390362 7.078608999999999 7.078784450714286;46.10734969119047 46.1884265 46.208019799999995 46.2280345 46.2277549 46.2211347 46.2136535 46.2107855 46.2111515 46.1891518 46.2253442 46.1060292 46.10734969119047
1;2;7.078784450714286 8.5746044 8.584548300000002 8.5931977 8.6040147 8.6161569 8.6248009 8.6251993 8.62566198409091;46.10734969119047 47.4531734 47.4526821 47.4505209 47.44742120000001 47.4459614 47.442838200000004 47.4401533 47.438623920454546
2;6;8.62566198409091 8.5386899 8.8417525 8.8412984 9.250283 9.4742975 9.4878599 9.641688199999999 9.6544214 9.796047 9.860461099999998 9.971421800000002 9.9823543 9.982994699999999 10.128858099999999 10.2166412 10.427355300000002 10.4412541 10.5985941 10.675650599999999 10.675650599999999 10.718603 10.8102147 10.8102147 10.823528 10.840846 10.8721233 10.8843845 10.885091599999999 10.9059573 10.9435287 10.9595057 11.1054894 11.190305699999998 11.3749767 11.4206346 11.4623736 11.5620414 11.563800099999998 11.56786716;47.438623920454546 47.378654700000006 47.759259 47.75860170000001 47.736683299999996 47.653323799999995 47.6561955 47.9377731 47.9816534 48.097483600000004 48.2568614 48.381044700000004 48.3995412 48.3980559 48.432133 48.4508452 48.424209399999995 48.4017105 48.3392103 48.3304398 48.3304398 48.333732700000006 48.380053600000004 48.380053600000004 48.3897336 48.3954801 48.3805341 48.366248999999996 48.36533060000001 48.354000299999996 48.3524655 48.3006156 48.220698399999996 48.216364299999995 48.1945885 48.169536799999996 48.150138 48.138124499999996 48.139325 48.138864760000004
6;6;11.56786716 11.56786716;48.138864760000004 48.138864760000004
6;6;11.56786716 11.56786716;48.138864760000004 48.138864760000004
6;6;11.56786716 11.5584617 11.5585395 11.5581723 11.5549611 11.551366499999999 11.5489748 11.5485586 11.549297099999999 11.5495895 11.5499708 11.5612982 11.563892599999999 11.5659993 11.56786716;48.138864760000004 48.1366359 48.13201289999999 48.1301405 48.130069899999995 48.1305094 48.1351825 48.134277399999995 48.1361646 48.137312200000004 48.1390415 48.1392763 48.139261 48.139070700000005 48.138864760000004
6;6;11.56786716 11.5750698 11.5769935 11.5748427 11.5729522 11.5702647 11.56786716;48.138864760000004 48.1374502 48.1368649 48.1371839 48.138053799999994 48.1384074 48.138864760000004
6;2;11.56786716 11.566326400000001 11.5640303 11.561172099999999 11.5537391 11.553116699999999 11.5561311 11.577000300000002 11.575981599999999 11.566119300000002 11.560896000000001 11.5612941 11.5642564 11.555352000000001 11.554098199999999 11.556023300000001 11.5581115 11.5591266 8.8491046 8.8403282 8.6256865 8.62566198409091;48.138864760000004 48.139129 48.139428499999994 48.1394041 48.173967100000006 48.1754255 48.1784944 48.141781 48.1395737 48.1399232 48.1413217 48.1395206 48.1418001 48.1406461 48.1406715 48.1403964 48.1405191 48.139079100000004 47.7612098 47.758488899999996 47.4403881 47.438623920454546
2;3;8.62566198409091 8.543910396874999;47.438623920454546 47.411929693750004
3;4;8.543910396874999 8.543806 8.535689 8.5200049 8.507454146666667;47.411929693750004 47.4135786 47.4131675 47.4147431 47.4084044
4;3;8.507454146666667 8.5088911 8.519129099999999 8.5312435 8.543910396874999;47.4084044 47.410536 47.4144059 47.4133098 47.411929693750004
3;7;8.543910396874999 8.625958599999999 8.62496086222222;47.411929693750004 47.4384941 47.443536284444434
7;2;8.62496086222222 8.6287541 8.624533900000001 8.62566198409091;47.443536284444434 47.443042999999996 47.442635100000004 47.438623920454546
2;3;8.62566198409091 8.543910396874999;47.438623920454546 47.411929693750004
3;3;8.543910396874999 8.541954400000002 8.5338138 8.5232064 8.5092067 8.5082081 8.5195431 8.522473399999999 8.5363515 8.5404689 8.541502000000001 8.5468375 8.5504463 8.544866800000001 8.543910396874999;47.411929693750004 47.41410020000001 47.4130547 47.4137861 47.4117658 47.4106606 47.4139022 47.4130064 47.41001179999999 47.4095426 47.4102109 47.4102823 47.4107159 47.4113828 47.411929693750004
3;2;8.543910396874999 8.6250676 8.6246043 8.62566198409091;47.411929693750004 47.4413449 47.44268579999999 47.438623920454546
2;4;8.62566198409091 8.507454146666667;47.438623920454546 47.4084044
4;8;8.507454146666667 8.505607800000002 8.531983199999999 8.5395354 8.546301300000001 8.548427766666665;47.4084044 47.405874 47.3979155 47.390316799999994 47.377691799999994 47.377712333333335
8;8;8.548427766666665 8.546424499999999 8.542960899999999 8.548427766666665;47.377712333333335 47.3768946 47.3768071 47.377712333333335
8;8;8.548427766666665 8.548427766666665;47.377712333333335 47.377712333333335
8;8;8.548427766666665 8.548427766666665;47.377712333333335 47.377712333333335
8;7;8.548427766666665 8.548581500000001 8.5470498 8.538116699999998 8.527980099999999 8.623299099999999 8.62496086222222;47.377712333333335 47.376600399999994 47.3794557 47.3777504 47.3808971 47.43886129999999 47.443536284444434
