group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,23.5125,4.001944444444445,0.0,0.0,1.0,3.0,1.0066666666666666,0.8055555555555556,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5180555555555555
1,25.149166666666666,4.0,0.0,0.0,1.0,3.0,0.9944444444444445,0.9822222222222222,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9622222222222222
2,26.0,4.0,0.0,0.0,1.0,3.685,0.8077777777777778,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,26.0,4.0,0.0,0.0,1.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,26.513055555555557,4.0,0.0,0.0,0.20916666666666667,4.0,1.2630555555555556,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,27.0,4.0,0.0,0.0,0.0,4.0,0.08444444444444445,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,26.463333333333335,3.3133333333333335,0.0,0.0,0.0,4.6113888888888885,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,23.06361111111111,2.2177777777777776,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25222222222222224,0.0
8,20.465833333333332,2.0,0.0,0.0,0.10194444444444445,5.0,0.0,0.0,2.0,0.9188888888888889,0.0,0.0,0.0,1.6788888888888889,0.0,0.6436111111111111,0.0
9,18.976111111111113,1.0,0.0,0.0,1.1433333333333333,5.0,0.0,0.0,2.0,0.8880555555555556,1.756388888888889,2.7305555555555556,0.0,3.347777777777778,0.0,0.0,0.0
10,18.39472222222222,1.0,0.0,0.0,1.6358333333333333,5.0,0.0,0.0,2.0,0.0,0.0,5.639166666666667,0.0,2.1458333333333335,0.0,0.0,0.0
11,15.865555555555556,1.0,0.0,0.0,1.8541666666666667,5.609166666666667,0.0,0.0,2.0,0.0,0.0,5.73,0.7225,2.876388888888889,0.0,0.0,0.0
12,13.127222222222223,1.0,0.2608333333333333,0.0,2.2908333333333335,3.658333333333333,0.0,0.0,1.7427777777777778,0.0,0.0,6.223611111111111,2.8336111111111113,2.0,0.0,0.0,0.0
13,12.600555555555555,1.0,0.3283333333333333,0.0,3.8433333333333333,2.1575,0.0,0.0,0.3358333333333333,0.0,0.9855555555555555,2.301111111111111,0.0,3.147222222222222,0.0,0.0,0.0
14,12.919166666666667,0.18638888888888888,0.9269444444444445,0.0,3.2580555555555555,1.8630555555555555,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0
15,12.581111111111111,0.0,0.0,0.0,2.8694444444444445,1.0,0.0,0.0,0.0,0.0,1.3194444444444444,0.0,0.0,1.6636111111111112,0.09555555555555556,0.5805555555555556,0.0
16,16.407222222222224,0.0,0.0,0.0,2.0,0.995,0.6283333333333333,0.0,0.1711111111111111,0.0,0.0,0.0,0.0,0.0,2.0625,0.0,0.0
17,18.364166666666666,0.0,0.0,0.0,1.9305555555555556,0.44277777777777777,0.0,0.0,0.6027777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.7738888888888888,0.0
18,22.33388888888889,1.5116666666666667,0.0,1.3533333333333333,0.0,0.8633333333333333,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,19.529722222222222,2.6680555555555556,0.0,0.8691666666666666,0.0,0.21861111111111112,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,18.46611111111111,1.8322222222222222,0.0,1.0,0.0,1.8344444444444445,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,17.453611111111112,2.7544444444444443,0.0,1.0,0.0,2.9922222222222223,0.0,0.0,1.3375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,20.710833333333333,2.526666666666667,0.0,1.0,0.44305555555555554,3.8002777777777776,0.0,1.166111111111111,1.0163888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7405555555555555
23,22.524722222222223,3.0,0.0,0.8180555555555555,1.7080555555555557,3.0,1.7172222222222222,1.7305555555555556,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5275
