group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
1,28.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
2,28.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
3,28.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
4,28.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
5,27.856944444444444,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
6,23.183055555555555,2.6669444444444443,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
7,21.4225,2.912777777777778,0.0,0.0,0.0,0.8197222222222222,0.0,1.0,0.44666666666666666,0.0,0.0,1.0,1.0,0.53,0.7677777777777778,0.0
8,20.0,2.9627777777777777,0.0,0.48527777777777775,0.0,0.40694444444444444,0.0,1.0,0.6333333333333333,0.3055555555555556,0.0,1.0,1.0,0.7247222222222223,0.6591666666666667,0.0
9,19.84722222222222,3.21,0.0,0.7280555555555556,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.1236111111111111,0.7744444444444445,1.0,0.6283333333333333
10,21.176666666666666,3.0838888888888887,0.62,0.0,0.0,0.0,1.2741666666666667,1.0,0.0,1.0,0.0,0.3347222222222222,2.0597222222222222,0.10277777777777777,1.0,0.8333333333333334
11,22.342777777777776,2.9794444444444443,0.7366666666666667,0.0,0.0,0.0,0.7730555555555556,1.275,0.0,0.8366666666666667,0.0,0.0,0.6783333333333333,0.0,1.0,0.4538888888888889
12,19.534166666666668,4.428055555555556,0.02722222222222222,0.0,0.0,0.0,0.7294444444444445,2.5502777777777776,0.0,0.9441666666666667,0.0,0.0,0.0,0.0,1.0,1.0
13,19.0,2.8091666666666666,1.0,0.0,0.6177777777777778,0.0,0.59,3.9052777777777776,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
14,19.21388888888889,4.067222222222222,1.0,0.0,1.1613888888888888,0.0,0.08166666666666667,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.2525
15,17.43777777777778,5.922777777777778,0.0,0.0,0.7177777777777777,0.0,0.0,4.0,0.0,1.0,0.18055555555555555,0.0,0.0,0.0,1.0,0.0
16,18.373333333333335,3.368333333333333,0.0,0.0,0.0,0.0,0.0,3.9069444444444446,0.0,0.6619444444444444,1.5625,0.0,1.7225,0.0,1.0,0.0
17,19.815833333333334,1.4747222222222223,0.0,0.0,0.0,0.0,0.0,2.6527777777777777,0.0,0.0,0.9058333333333334,0.8413888888888889,2.4472222222222224,0.0,1.0,0.0
18,23.326666666666668,0.25333333333333335,0.0,0.0,0.0,0.0,0.0,1.2844444444444445,0.0,0.0,0.0,0.8136111111111111,2.0,0.0,1.0,0.0
19,26.38,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.8130555555555556,0.0,1.0,0.0
20,28.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
21,28.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
22,28.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
23,28.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
