placeId;location;placeName;id;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;city;state;country;latitude;longitude;latitudeSchematic;longitudeSchematic
1;61, Stampfenbachstrasse, Unterstrass, Kreis 6, Zürich, Bezirk Zürich, Zürich, 8006, Switzerland;terra vermessungen ag;;0.0;0.0;0.0;0.0;0.0;0.0;0.7108333333333333;1.4477777777777778;1.861388888888889;1.7847222222222223;2.149722222222222;4.560555555555555;3.546388888888889;2.8091666666666666;3.2247222222222223;4.064444444444445;2.504722222222222;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Zurich;Zurich;Switzerland;47.38120302083334;8.542403233796296;47.3448906736509;8.56386750111913
2;Pestalozzianum, Reitergasse, Langstrasse, Aussersihl, Zürich, Bezirk Zürich, Zürich, 8090, Switzerland;Europaallee;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5563888888888889;0.7847222222222222;0.02722222222222222;1.0;0.6475;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Zurich;Zurich;Switzerland;47.378208325;8.534515525;47.33216578243;8.48938298634029
3;Central, Hochschulen, Altstadt, Zürich, Bezirk Zürich, Zürich, 8001, Switzerland;Zurich HB Main Station;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9027777777777778;0.0;0.23805555555555555;1.0;1.0;0.8580555555555556;0.0;0.0;0.0;0.0;0.0;0.0;Zurich;Zurich;Switzerland;47.3767605;8.5433129;47.3217088794182;8.56341198194874
4;374, Wehntalerstrasse, Affoltern, Kreis 11, Zürich, Bezirk Zürich, Zürich, 8046, Switzerland;Place #3;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.46805555555555556;0.0;0.0;0.86;0.0;0.0;0.0;0.0;0.0;Zurich;Zurich;Switzerland;47.4139024;8.5202158;47.5035240732496;8.45856929447319
5;57, Furttalstrasse, Affoltern, Kreis 11, Zürich, Bezirk Zürich, Zürich, 8046, Switzerland;Georg-Kempf-Strasse 53;;25.0;25.0;25.0;25.0;25.0;24.856944444444444;20.735555555555557;18.435;18.0;17.74;18.295;20.25;19.0;18.0;17.798333333333332;17.184722222222224;18.446666666666665;21.248333333333335;23.7475;24.27638888888889;25.0;25.0;25.0;25.0;Zurich;Zurich;Switzerland;47.42135732;8.499648596250001;47.5094029504417;8.40234929162024
6;Neuapostolische Kirche Zürich-Affoltern, 180, In Böden, Affoltern, Kreis 11, Zürich, Bezirk Zürich, Zürich, 8046, Switzerland;Migros Supermarkt;;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.2094444444444443;4.624444444444444;2.6783333333333332;2.0;2.0;2.0;2.0;3.1469444444444443;3.633888888888889;3.0;3.0;3.0;3.0;3.0;3.0;Zurich;Zurich;Switzerland;47.420071033333336;8.507514277777778;47.5108582771427;8.4235656765952
7;3, Weiherweg, Niederuster, Uster, Bezirk Uster, Zürich, 8612, Switzerland;Uster Technologies AG;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5883333333333334;0.6302777777777778;1.5352777777777777;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Zurich;Zurich;Switzerland;47.34706443333333;8.704372733333333;47.306890512425;8.88087473369768
8;40, Apfelbaumstrasse, Oerlikon, Kreis 11, Zürich, Bezirk Zürich, Zürich, 8050, Switzerland;Apfelbaumstrasse 40;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6177777777777778;0.9016666666666666;0.7177777777777777;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Zurich;Zurich;Switzerland;47.40704298333333;8.556431866666665;47.3448906736509;8.56386750111913
9;112, Weinbergstrasse, Unterstrass, Kreis 6, Zürich, Bezirk Zürich, Zürich, 8006, Switzerland;Place #8;;0.0;0.0;0.0;0.0;0.0;0.0;0.8694444444444445;1.0175;1.0;1.0;1.0;0.0033333333333333335;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Zurich;Zurich;Switzerland;47.38617755;8.54202665;47.4134953077769;8.56429994776581
10;Neumarkt Oerlikon, 354, Hofwiesenstrasse, Oerlikon, Kreis 11, Zürich, Bezirk Zürich, Zürich, 8050, Switzerland;Hofwiesenstrasse 363;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.2741666666666667;1.0;0.9211111111111111;0.59;0.08166666666666667;0.0;0.0;0.6755555555555556;0.0;0.0;0.0;0.0;0.0;0.0;Zurich;Zurich;Switzerland;47.410883589523806;8.542534602380954;47.5029903545163;8.549458581398
