origin;destination;count;waypointsLong;waypointsLat;waypointsLatSchematic;waypointsLongSchematic
1;2;13;8.498921160491735 8.499524141878894 8.508584376923078 8.508697784615386 8.508636815384616 8.508930753846155 8.518045892307693 8.520106653846154 8.53085303076923 8.534477653846153 8.533991284615386 8.53490223076923 8.537345715384616 8.538557476923076 8.542410700000001 8.54248698651472 8.54249342808642;47.42123444470937 47.421199577106485 47.41832461538461 47.4184908076923 47.41844959230769 47.41818521538461 47.414376600000004 47.41377163846153 47.40707708461538 47.403199623076915 47.39776235384616 47.39619228461538 47.393560853846154 47.39166081538462 47.385391500000004 47.38220413618233 47.381710171296284;47.4410238986367 47.4301053867488 47.4293942994206 47.4286587358593 47.4278990887847 47.4271157637749 47.4263091790496 47.4254797652472 47.4246279651943 47.4237542336699 47.422859037162 47.4219428536191 47.4210061721945 47.4200494929856 47.4190733267665 47.4180781947155 47.417064628137 47.4160331681775 47.4149843655369 47.4139187801743 47.4128369810093 47.411739545618 47.4106270599248 47.4095001178894 47.40835932119 47.4072052789016 47.4060386071712 47.4048599288887 47.4036698733543 47.4024690759425 47.4012581777632 47.4000378253187 47.3794087199369;8.47129149740504 8.49607934505862 8.49765227279098 8.49920057387294 8.50072342166148 8.50222000310313 8.50368951916813 8.50513118527703 8.50654423171954 8.50792790406551 8.50928146356772 8.51060418755629 8.51189536982453 8.51315432100598 8.51438036894245 8.51557285904291 8.51673115463298 8.51785463729482 8.51894270719735 8.51999478341645 8.52101030424517 8.52198872749359 8.52292953077833 8.52383221180141 8.52469628861845 8.52552129989601 8.52630680515784 8.52705238502009 8.52775764141523 8.52842219780454 8.52904569937918 8.52962781324961 8.53908138619096
2;3;2;8.54249342808642 8.54242361404321 8.54305211404321 8.5416882 8.5350219 8.53449935 8.5331542 8.5350848625 8.535416725;47.38171017129629 47.381842335648145 47.38103823564814 47.3769212 47.37736105 47.37852825 47.37898010000001 47.37854645 47.37864110000001;47.3794087199369 47.3745921762095;8.53908138619096 8.52797356938071
1;4;1;8.498921160491735 8.4985183 8.5120796 8.5285242 8.532833300000002 8.532540800000001 8.5421063 8.5426106 8.5439595 8.5422383 8.590520199999998 8.6731231 8.710906300000001 8.712864100000001 8.7038869 8.7048313 8.7033501 8.704347300000002 8.703008 8.704253900000001 8.7042365 8.704048716666668;47.42123444470936 47.42100000000001 47.4161073 47.409623700000004 47.405296899999996 47.3978573 47.3858716 47.3818146 47.38118060000001 47.3987515 47.4078205 47.3867469 47.3610382 47.3544047 47.3468771 47.3481294 47.34769489999999 47.347050700000004 47.3466691 47.3475559 47.3468102 47.34692083333332;47.4410238986366 47.4320905664033 47.4315076832829 47.4309019480251 47.4302736881617 47.4296232434042 47.4289509654596 47.4282572178406 47.427542375669 47.4268068254728 47.426050964977 47.425275202889 47.4244799586771 47.4236656623442 47.4228327541949 47.4219816845975 47.4211129137405 47.4202269113838 47.4193241566049 47.4184051375393 47.4174703511171 47.416520302794 47.4155555062782 47.4145764832523 47.4135837630916 47.4125778825778 47.4115593856083 47.4105288229027 47.4094867517046 47.4084337354807 47.4073703436155 47.4062971511042 47.3915503646627 47.3913758441807 47.3912091278911 47.3910517249984 47.3909050603975 47.3907704617742 47.3906491475868 47.3905422160359 47.3904506351228 47.3903752338865 47.3903166948992 47.3902755480869 47.3902521659323 47.3902467601033 47.3902593795363 47.3902899099934 47.3903380750967 47.3904034388301 47.3904854094862 47.3905832450233 47.3906960597818 47.3908228325027 47.3909624155718 47.3911135454091 47.3912748539068 47.3914448808146 47.3916220869586 47.3918048681745 47.3919915698295 47.3921805018011 47.3923699974778 47.3923699537764 47.3931421701244 47.3939150728863 47.3946870970513 47.395456635736 47.3962220872301 47.3969818583304 47.397734367657 47.3984780489443 47.3992113543015 47.3999327574339 47.4006407568203 47.4013338788378 47.402010680829 47.402669754105 47.4033097268771 47.4039292671124 47.4045270853058 47.4051019371647 47.4056526261979 47.4061780062067 47.4066769836704 47.4071485200223 47.4075916338112 47.4080054027445 47.4083889656076 47.4087415240565 47.4090623442796 47.4093507585249 47.4096061664897 47.4098280365704 47.4132138787126 47.4136501281492 47.4140510390333 47.4144164296283 47.4147461342993 47.4150400035881 47.415297904281 47.4155197194692 47.4157053486019 47.4158547075317 47.4159677285528 47.4160443604316 47.4160845684303 47.4160883343222 47.4160556564002 47.4159865494775 47.4158810448808 47.4157391904365 47.4155610504484 47.4153467056691 47.4150962532629 47.4148098067625 47.4144874960164 47.4141294671314 47.413735882405 47.413306920253 47.4128427751279 47.4123436574309 47.4118097934168 47.411241425091 47.4106388101001 47.3947479324424 47.3942490910378 47.3937314201151 47.3931950366252 47.3926400617469 47.3920666208586 47.3914748435111 47.3908648633973 47.3902368183225 47.3895908501734 47.3889271048856 47.388245732411 47.3875468866838 47.3868307255856 47.38609741091 47.3853471083259 47.3845799873399 47.3837962212584 47.382995987148 47.3821794657958 47.3813468416686 47.380498302871 47.3796340411029 47.3787542516166 47.377859133172 47.3769488879925 47.3760237217185 47.3750838433617 47.3741294652572 47.373160803016 47.3721780754763 47.3568301085059 47.3563300103228 47.3558142825916 47.3552835756185 47.3547385585977 47.3541799187676 47.3536083605443 47.3530246046334 47.352429387121 47.3518234585459 47.3512075829528 47.3505825369292 47.349949108626 47.3493080967637 47.3486603096253 47.3480065640372 47.3473476843388 47.3466845013436 47.3460178512913 47.3453485747933 47.3446775157728 47.3440055204009 47.3433334360291 47.3426621101212 47.3419923891848 47.3413251177034 47.3406611370722 47.3400012845365 47.3393463921365 47.3386972856579 47.3380547835905 47.327448518471;8.47129149740504 8.49426090933779 8.4957190509256 8.49715682812152 8.49857346349372 8.49996819104212 8.50134025661258 8.50268891830472 8.50401344687304 8.50531312612125 8.50658725328955 8.50783513943459 8.50905610980201 8.5102495041913 8.51141467731278 8.51255099913649 8.51365785523291 8.51473464710514 8.51578079251258 8.51679572578568 8.51777889813188 8.51872977793231 8.51964785102924 8.52053262100416 8.52138360944609 8.52220035621038 8.52298241966744 8.52372937694157 8.52444082413963 8.52511637656938 8.52575566894754 8.5263583555973 8.53435770171271 8.53446636022681 8.53459894514282 8.53475425623155 8.53493088753445 8.53512724009104 8.53534153641356 8.53557183657774 8.53581605578404 8.53607198323033 8.53633730212527 8.53660961066115 8.53688644375628 8.53716529537028 8.53744364119006 8.53771896148124 8.53798876389815 8.53825060604582 8.53850211758991 8.53874102171418 8.53896515573144 8.53917249066138 8.53936114959798 8.5395294247002 8.53967579265235 8.53979892845388 8.53989771741405 8.53997126524265 8.54001890614563 8.5400402088522 8.54003568156194 8.54003498051893 8.53998614986094 8.53998854749103 8.54004286946181 8.54014900270806 8.54030672632509 8.54051571202852 8.54077552483758 8.54108562398046 8.54144536401986 8.54185399619641 8.54231066998715 8.54281443487577 8.54336424233099 8.54395894798902 8.54459731403538 8.54527801178129 8.54599962442918 8.54676065002162 8.54755950456747 8.54839452533876 8.54926397433153 8.55016604188321 8.55109885043934 8.5520604584614 8.55304886446795 8.5540620112005 8.55509778990546 8.55615404472326 8.55722857717556 8.55831915074115 8.57644648854063 8.57888530699203 8.58133725713959 8.58380122749159 8.58627610110741 8.58876075610389 8.5912540661639 8.59375490104687 8.59626212710115 8.59877460777792 8.60129120414641 8.60381077541015 8.60633217942412 8.60885427321251 8.61137591348681 8.61389595716411 8.61641326188525 8.61892668653266 8.62143509174764 8.62393734044684 8.62643229833775 8.6289188344328 8.63139582156214 8.63386213688454 8.63631666239638 8.63875828543851 8.64118589920055 8.64359840322268 8.64599470389446 8.64837371495057 8.65073435796326 8.71104576230201 8.71289597070673 8.71473493003607 8.71656222483639 8.71837744228929 8.72018017230483 8.72197000761422 8.72374654386181 8.72550937969644 8.72725811686213 8.72899236028802 8.73071171817766 8.73241580209751 8.73410422706468 8.73577661163392 8.73743257798379 8.73907175200203 8.74069376337005 8.74229824564661 8.74388483635062 8.74545317704299 8.74700291340765 8.74853369533159 8.75004517698391 8.75153701689401 8.75300887802871 8.75446042786838 8.75589133848208 8.75730128660163 8.75868995369467 8.76005702603658 8.78109645305009 8.78175724825072 8.78239150147898 8.78299841297415 8.78357721745203 8.78412718506995 8.78464762234699 8.78513787303852 8.78559731896361 8.78602538078457 8.78642151873746 8.78678523331267 8.78711606588483 8.78741359929106 8.78767745835705 8.78790731037008 8.78810286549856 8.78826387715755 8.7883901423196 8.78848150177086 8.78853784031174 8.78855908690223 8.78854521475149 8.78849624135159 8.78841222845545 8.78829328199902 8.78813955196768 8.78795123220708 8.78772856017876 8.78747181666071 8.7871813253933 8.78208103527423
4;2;1;8.704048716666668 8.7118372 8.5990044 8.5466233 8.54249342808642;47.34692083333332 47.3568633 47.407462200000005 47.4000222 47.38171017129629;47.327448518471 47.3349502464857 47.3353652554194 47.3357893856992 47.3362216560966 47.3366610665511 47.3371066004833 47.3375572271474 47.3380119040153 47.3384695791889 47.3389291938335 47.3393896846272 47.3398499862214 47.340309033705 47.3407657650684 47.3412191236603 47.3416680606325 47.342111537366 47.3425485278743 47.3429780211767 47.3433990236374 47.3438105612642 47.3442116819618 47.3446014577348 47.344978986834 47.3453433958433 47.3456938416997 47.3460295136443 47.3463496350976 47.3466534654565 47.3469403018071 47.3472094805516 47.4036449123012 47.4046345513149 47.4055839262253 47.4064923543851 47.4073591825896 47.4081837875468 47.408965576325 47.4097039867797 47.4103984879574 47.4110485804775 47.4116537968916 47.4122137020192 47.4127278932609 47.413196000888 47.413617688308 47.413992652307 47.4143206232672 47.4146013653616 47.4148346767226 47.4150203895879 47.4151583704209 47.4152485200065 47.4152907735227 47.4152851005872 47.4152315052791 47.4151300261361 47.4149807361266 47.4147837425975 47.4145391871969 47.4142472457721 47.4139081282435 47.4111063474079 47.4109177191049 47.4106958192761 47.4104410115248 47.4101537133773 47.4098343955982 47.4094835814193 47.4091018456821 47.408689813896 47.4082481612134 47.4077776113231 47.4072789352648 47.4067529501653 47.4062005179001 47.4056225436807 47.4050199745713 47.4043937979374 47.4037450398275 47.4030747632919 47.4023840666408 47.4016740816447 47.4009459716799 47.4002009298221 47.3994401768915 47.3986649594522 47.39787654777 47.3970762337305 47.3962653287224 47.3954451614888 47.3946170759498 47.3937824290003 47.3794087199369;8.78208103527423 8.78771873351975 8.78801249884033 8.78827656525772 8.78851032185241 8.78871322782684 8.78888481375659 8.7890246826764 8.78913251099852 8.78920804926136 8.78925112270662 8.78926163168358 8.78923955187963 8.78918493437656 8.78909790553236 8.78897866668888 8.78882749370602 8.78864473632357 8.78843081735202 8.78818623169444 8.78791154520149 8.78760739336233 8.78727447983439 8.7869135748155 8.78652551326198 8.78611119295701 8.78567157243355 8.78520766875682 8.78472055517127 8.78421135861765 8.78368125712581 8.78313147708933 8.6618665964578 8.65967359826214 8.65744229250002 8.65517428359012 8.65287120234253 8.65053470478602 8.64816647097739 8.64576820379332 8.64334162770599 8.64088848754307 8.63841054723312 8.6359095885372 8.63338740976775 8.63084582449547 8.62828666024529 8.62571175718231 8.62312296678859 8.62052215053188 8.6179111785271 8.61529192819167 8.61266628289553 8.61003613060691 8.6074033625348 8.60476987176904 8.60213755191916 8.59950829575272 8.59688399383434 8.5942665331663 8.59165779583168 8.58905965764106 8.58647398678371 8.56654467329457 8.56532804315516 8.56412365515247 8.56293348278792 8.56175947626928 8.56060355931512 8.55946762600254 8.55835353766361 8.55726311983538 8.55619815926859 8.55516040099986 8.55415154549236 8.55317324584938 8.5522271051056 8.55131467360038 8.55043744643733 8.54959686103452 8.54879429476907 8.54803106272023 8.54730841551448 8.54662753727628 8.54598954368776 8.54539548016059 8.54484632012292 8.54434296342442 8.5438862348617 8.54347688282687 8.54311557808119 8.542802912656 8.54253939888259 8.54232546855271 8.53908138619096
2;5;1;8.556483138888888 8.555774900000001 8.556758300000002 8.547812400000002 8.5452446 8.5432916 8.541514 8.5410763 8.5427305 8.54249342808642;47.40722186111111 47.405951200000004 47.4042828 47.400076899999995 47.3955218 47.392208000000004 47.3892544 47.387505499999996 47.3835283 47.38171017129629;47.4194233615679 47.3794087199369;8.56103354769036 8.53908138619096
1;6;1;8.498921160491735 8.506071400000002 8.513076199999999 8.529314900000001 8.5335743 8.5337526 8.536306300000001 8.5418424 8.5425826 8.5438089 8.5422933 8.5618768 8.579437599999999 8.59903595;47.42123444470936 47.419197499999996 47.4157196 47.4088195 47.4046039 47.400299200000006 47.3950941 47.3862643 47.3819321 47.3814766 47.398823 47.404104 47.4055322 47.40831405;47.4410238986366 47.4314640808816 47.4308401931895 47.4301931705033 47.4295233522504 47.4288310898167 47.4281167463623 47.427380696631 47.4266233267538 47.4258450340459 47.425046226799 47.4242273240664 47.4233887554435 47.4225309608426 47.4216543902618 47.420759503549 47.4198467701608 47.4189166689162 47.4179696877452 47.4170063234331 47.4160270813599 47.4150324752347 47.4140230268268 47.4129992656919 47.4119617288939 47.4109109607233 47.4098475124122 47.4087719418442 47.4076848132625 47.4065866969736 47.4054781690481 47.4043598110184 47.3918786436931 47.3917060863142 47.3915411015001 47.3913851831539 47.3912397430837 47.3911060982189 47.3909854586859 47.3908789168504 47.3907874374266 47.3907118487414 47.3906528352346 47.3906109312613 47.3905865162531 47.3905798112828 47.3905908770626 47.3906196133941 47.3906657600758 47.3907288992592 47.3908084592322 47.3909037195958 47.3910138177873 47.3911377568907 47.3912744146631 47.391422553697 47.3915808326245 47.3917478182628 47.3919219985919 47.3921017964453 47.392285583791 47.392471696473 47.3926584492798 47.3926584857326 47.3934158841298 47.3941737329106 47.3949304049075 47.3956842754794 47.3964337260003 47.3971771473344 47.397912943291 47.398639534052 47.3993553595633 47.400058882885 47.400748593491 47.4014230105122 47.4020806859165 47.4027202076171 47.4033402025051 47.4039393393971 47.4045163318939 47.4050699411421 47.4055989784943 47.4061023080609 47.4065788491495 47.4070275785845 47.4074475329046 47.4078378104312 47.4081975732044 47.4085260487819 47.4088225318979 47.4090863859774 47.4093170445024 47.4095140122291 47.4209866502102;8.47129149740504 8.49487806911121 8.49637699178602 8.49785446773623 8.49930972187957 8.50074199079133 8.50215052310481 8.50353457990551 8.50489343511874 8.50622637589056 8.5075327029617 8.50881173103442 8.51006278913199 8.51128522095071 8.5124783852042 8.51364165595979 8.51477442296693 8.51587609197729 8.51694608505651 8.51798384088741 8.51898881506441 8.51996048037918 8.52089832709714 8.52180186322494 8.52267061476853 8.52350412598179 8.52430195960566 8.52506369709751 8.52578893885067 8.52647730440412 8.52712843264205 8.5277419819833 8.53435601692481 8.53446120974196 8.53459007307929 8.53474144010618 8.53491394022582 8.53510601148565 8.53531591472055 8.53554174930054 8.53578147034069 8.53603290721704 8.5362937832212 8.53656173617543 8.5368343398217 8.53710912579093 8.53738360595356 8.53765529494906 8.5379217326903 8.5381805066392 8.53842927365169 8.53866578119444 8.53888788774105 8.53909358216312 8.53928100194062 8.53944845002663 8.53959441021368 8.53971756086278 8.53981678687052 8.53989118976612 8.5399400958469 8.53996306227853 8.53995988110474 8.5399604908866 8.53992031498332 8.53993186391982 8.53999511289955 8.5401099261214 8.54027605707134 8.5404931490517 8.54076073594701 8.5410782432248 8.54144498916917 8.54186018634451 8.54232294328617 8.54283226641452 8.54338706216826 8.54398613935238 8.54462821169577 8.54531190061296 8.54603573816404 8.54679817020649 8.54759755973203 8.54843219038143 8.54930027012968 8.55019993513366 8.5511292537339 8.5520862306021 8.55306881102522 8.55407488531715 8.55510229334841 8.55614882918408 8.5572122458202 8.55829026000825 8.62742526893885
6;2;1;8.59903595 8.5915873 8.5836311 8.571794800000001 8.5565752 8.5450787 8.542149199999999 8.5430052 8.54249342808642;47.40831405 47.405654 47.4066752 47.40384 47.4040637 47.3946352 47.385893100000004 47.384580799999995 47.38171017129629;47.4209866502102 47.417214473898 47.4170290664231 47.4168047710833 47.4165418486519 47.4162406048113 47.4159013897977 47.4155245979939 47.4151106674706 47.4146600794773 47.4141733578828 47.4136510685658 47.4130938187574 47.4125022563349 47.4118770690687 47.4112189838223 47.4105287657077 47.4098072171957 47.4090551771827 47.4082735200156 47.4074631544752 47.4066250227197 47.4057600991891 47.4048693894726 47.403953929139 47.4030147825332 47.4020530415386 47.4010698243073 47.4000662739609 47.3990435572604 47.3980028632506 47.3969454018772 47.3794087199369;8.62742526893885 8.58899651581141 8.58731139852651 8.58563657314754 8.5839739868826 8.58232557271019 8.58069324713186 8.57907890794401 8.57748443203149 8.57591167318539 8.57436245994787 8.57283859348612 8.57134184549837 8.56987395615397 8.56843663207026 8.56703154432836 8.56566032653038 8.56432457290007 8.56302583642935 8.56176562707275 8.5605454099919 8.55936660385207 8.55823057917277 8.55713865673435 8.55609210604242 8.55509214385189 8.5541399327523 8.55323657981618 8.55238313531193 8.55158059148271 8.55082988139288 8.55013187784313 8.53908138619096
2;7;2;8.54249342808642 8.54162131404321 8.53742265 8.5414919 8.54201205 8.53981365 8.542511398392858;47.38171017129629 47.38505018564815 47.39685595 47.4028759 47.40952315 47.40942135 47.41067544482143;47.3794087199369 47.4248186077832;8.53908138619096 8.53912955425855
1;8;2;8.498921160491735 8.500731430245867 8.425391150000001 8.61073965 8.635272149999999 8.66073605 8.6667704 8.668418096166665 8.668347192333332;47.42123444470936 47.42100037235468 47.39113089999999 47.245528199999995 47.2335107 47.22852025 47.223239400000004 47.223442971500006 47.22347574300001;47.4410238986366 47.4175187116443 47.4163164735646 47.4150109880175 47.4136066620186 47.4121082362462 47.4105207690374 47.4088496193125 47.4071004284845 47.4052791014152 47.4033917864812 47.4014448548193 47.399444878818 47.3973986099317 47.3953129558883 47.3931949573711 47.3910517642509 47.3888906114494 47.3867187945162 47.3845436450005 47.3823725057015 47.3802127058806 47.3780715365202 47.3759562257104 47.3738739142486 47.3718316315345 47.3698362718397 47.3678945710349 47.3660130838505 47.3641981617501 47.3624559314887 47.3607922744308 47.1966791265104 47.1957066873221 47.1947472124836 47.193800906271 47.1928679701569 47.1919486027672 47.1910429998389 47.1901513541788 47.1892738556218 47.188410690991 47.1875620440578 47.1867280955025 47.1859090228763 47.185105000563 47.1843161997425 47.1835427883535 47.1827849310587 47.1820427892089 47.1813165208093 47.1806062804853 47.17991221945 47.179234485472 47.1785732228435 47.1779285723502 47.1773006712407 47.1766896531978 47.1760956483099 47.1755187830428 47.1749591802138 47.1744169589645 47.173892234736 47.1594292595101;8.47129149740504 8.41555577651237 8.41288626534795 8.41032408431647 8.40787788274556 8.40555591844312 8.40336602982094 8.401315609434 8.39941157902493 8.39766036615783 8.39606788252029 8.39463950396693 8.39338005237173 8.39229377935054 8.39138435190859 8.39065484006153 8.3901077064718 8.38974479813523 8.38956734014601 8.38957593156106 8.38977054337775 8.39015051863184 8.39071457461518 8.39146080720589 8.39238669729618 8.39348911929632 8.39476435168588 8.39620808957673 8.39781545924531 8.39958103458525 8.40149885542457 8.40356244764589 8.61950995503616 8.62080277342487 8.6221162651396 8.62345015053254 8.62480414561399 8.62617796211279 8.62757130753775 8.62898388523987 8.63041539447551 8.63186553047047 8.63333398448478 8.63482044387854 8.63632459217839 8.63784610914495 8.63938467084098 8.64093994970034 8.64251161459774 8.64409933091922 8.64570276063343 8.64732156236356 8.64895539146004 8.65060390007391 8.65226673723087 8.65394354890603 8.65563397809925 8.65733766491119 8.65905424661988 8.66078335775799 8.66252463019062 8.66427769319367 8.6660421735328 8.71566110050153
8;2;1;8.668347192333332 8.6530483 8.604091699999998 8.5056893 8.5158366 8.529464599999999 8.535049699999998 8.5326608 8.537378 8.540659699999999 8.54249342808642;47.22347574300001 47.234367999999996 47.2438833 47.4192324 47.4149551 47.4086186 47.4027131 47.397808399999995 47.393457399999996 47.3876595 47.38171017129629;47.1594292595101 47.1694367413141 47.1700874765292 47.170791015305 47.1715467634859 47.1723540828239 47.173212291518 47.1741206647901 47.1750784354966 47.1760847947767 47.1771388927354 47.1782398391611 47.1793867042776 47.1805785195292 47.1818142783987 47.1830929372576 47.1844134162469 47.18577460019 47.1871753395337 47.1886144513192 47.1900907201814 47.191602899375 47.1931497118278 47.1947298512187 47.1963419830812 47.1979847459306 47.1996567524134 47.2013565904791 47.2030828245729 47.2048339968478 47.2066086283958 47.2084052204973 47.4086916526286 47.4089896728739 47.4092648849738 47.4095146720773 47.4097366590865 47.4099287352403 47.4100890741847 47.4102161513388 47.4103087583907 47.4103660147875 47.4103873761072 47.410372639236 47.4103219442993 47.4102357733293 47.4101149456817 47.4099606102449 47.4097742345156 47.4095575906454 47.4093127385902 47.4090420065228 47.4087479686964 47.4084334209661 47.4081013542056 47.407754925868 47.4073974299633 47.4070322657373 47.4066629053499 47.4062928608604 47.4059256508326 47.4055647668791 47.4052136404607 47.3794087199369;8.71566110050153 8.67251822999126 8.66983914212184 8.66718891837798 8.66456979693856 8.66198398971579 8.6594336804872 8.65692102305141 8.65444813940916 8.65201711797128 8.6496300117949 8.64728883684967 8.64499557031517 8.64275214891117 8.64056046726199 8.63842237629647 8.6363396816848 8.63431414231361 8.63234746880049 8.63044132204941 8.62859731184798 8.62681699550801 8.62510187655023 8.62345340343462 8.6218729683371 8.62036190597384 8.618921492474 8.61755294430207 8.61625741723051 8.61503600536365 8.61388974021375 8.61281958982979 8.51041205194023 8.51008833509006 8.50972337615204 8.50932064533415 8.50888397199791 8.50841750824686 8.50792568944638 8.50741319205007 8.50688488913371 8.50634580405969 8.50580106271245 8.505255844759 8.5047153343982 8.50418467106679 8.50366890057114 8.50317292710928 8.50270146663933 8.50225900203793 8.50184974047482 8.501477573409 8.50114603958689 8.50085829139413 8.50061706488121 8.50042465374774 8.50028288753285 8.50019311421901 8.50015618741477 8.50017245823824 8.50024177197848 8.50036346956656 8.50053639384232 8.53908138619096
