group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,38,73,60,14,23,42,45,92,40,63,73,62,3,99,11,59,47,24,48,19,54,54,22
1,67,67,54,18,38,76,90,4,55,61,43,64,73,14,47,57,18,67,44,6,67,72,51
2,37,87,90,97,43,62,16,86,86,51,34,16,8,80,81,83,34,34,8,86,93,23,28
3,44,51,88,37,44,73,52,93,63,38,42,44,8,95,27,40,1,58,29,52,88,3,16
4,23,41,90,63,57,6,25,90,69,76,18,59,13,47,46,86,96,86,63,90,62,10,10
5,15,70,25,17,48,21,50,4,65,86,89,25,47,41,48,48,83,41,41,51,13,57,87
6,97,24,99,27,100,6,21,10,67,13,11,28,85,92,27,35,24,74,85,66,96,54,40
7,45,21,99,46,88,30,64,5,46,46,69,59,33,17,49,30,94,57,75,31,40,11,11
8,69,58,46,60,72,9,22,21,27,13,75,40,53,55,32,39,31,27,75,47,21,87,9
9,93,90,56,4,46,17,75,70,1,59,72,71,67,54,13,46,76,84,99,81,32,14,36
10,10,4,99,86,54,42,14,65,87,10,43,19,75,28,16,68,70,30,85,80,18,22,74
11,38,54,89,14,76,12,85,67,43,86,44,88,67,70,62,13,34,13,39,89,68,23,69
12,72,82,70,53,3,68,11,90,96,76,45,44,22,87,88,93,71,81,47,80,65,64,6
13,25,67,59,54,59,80,48,60,99,13,6,39,49,6,37,14,31,9,49,60,83,79,77
14,32,23,60,19,42,52,12,45,44,87,63,97,23,41,41,86,11,54,59,44,64,100,50
15,24,90,21,46,61,69,56,5,27,86,9,2,95,68,84,27,4,48,91,80,78,53,2
16,58,101,67,7,66,55,77,59,77,84,10,28,21,61,53,78,41,72,4,12,58,8,16
17,62,93,75,40,46,13,79,9,13,18,69,29,78,75,2,43,65,9,96,2,8,70,21
18,95,78,2,40,91,87,36,19,85,78,32,39,55,6,4,63,42,9,42,76,70,92,83
19,70,12,41,14,80,94,82,16,6,42,5,14,84,9,16,10,76,82,89,5,25,70,74
20,65,87,71,70,28,32,35,55,3,74,66,9,57,95,42,82,32,92,80,71,22,76,64
21,19,27,34,26,66,29,46,73,19,9,39,86,24,81,89,78,62,46,51,72,84,21,40
22,101,81,38,92,56,95,85,51,37,92,32,50,99,90,13,2,87,5,18,98,97,56,27
23,20,86,15,48,32,59,40,91,27,79,81,64,8,70,46,40,26,52,73,76,14,23,31
