origin;destination;count;waypointsLong;waypointsLat;waypointsLatSchematic;waypointsLongSchematic
2;3;1;8.538854370833334 8.54152255 8.54261665 8.5429912 8.5421121 8.53930665 8.539084 8.53350935 8.53428775 8.52271 8.5123247 8.504302599999999 8.503525400000001 8.499841443064994;47.38246841666667 47.3820922 47.3813204 47.381035499999996 47.38317245 47.3888632 47.388821 47.39810349999999 47.40007325 47.412839 47.416048599999996 47.419897250000005 47.42040255 47.421013358780385;47.3340032663906 47.3982559641077 47.3985422622994 47.3988286212414 47.3991149683686 47.3994012311187 47.399687336951 47.3999732133643 47.4002587879159 47.4005439882393 47.4008287420629 47.4011129772283 47.4013966217085 47.4016796036262 47.4019618512719 47.4022432931223 47.4025238578583 47.4028034743829 47.4030820718396 47.4033595796299 47.4036359274318 47.4039110452167 47.4041848632682 47.4044573121991 47.4047283229689 47.404997826902 47.4052657557042 47.4055320414806 47.4057966167529 47.4060594144759 47.406320368055 47.4065794113629 47.4582112028443 47.4585495368983 47.4588842908196 47.4592153172985 47.4595424706654 47.4598656069551 47.4601845839702 47.4604992613436 47.4608095006001 47.4611151652179 47.4614161206878 47.4617122345731 47.4620033765679 47.4622894185539 47.462570234657 47.4628457013031 47.463115697272 47.4633801037507 47.4636388043862 47.4638916853362 47.4641386353194 47.4643795456644 47.4646143103577 47.4648428260901 47.4650649923024 47.4652807112293 47.4654898879429 47.4656924303941 47.4658882494534 47.4660772589496 47.4662593757085 47.5030290109538;8.65897741391775 8.66174213345347 8.66175111112212 8.66175337510218 8.66174892481993 8.66173776140311 8.66171988768058 8.66169530818168 8.661664029135 8.66162605846685 8.66158140579923 8.66153008244743 8.6614721014171 8.661407477401 8.66133622677527 8.66125836759528 8.66117391959104 8.6610829041622 8.66098534437266 8.66088126494469 8.66077069225267 8.66065365431644 8.66053018079415 8.66040030297477 8.66026405377018 8.66012146770678 8.65997258091679 8.65981743112908 8.65965605765958 8.65948850140137 8.65931480481426 8.65913501191407 8.62256081699734 8.62231436992242 8.62205751171332 8.62179035540154 8.6215130185503 8.62122562320282 8.62092829582859 8.62062116726774 8.62030437267343 8.61997805145242 8.6196423472037 8.61929740765528 8.61894338459922 8.6185804338248 8.61820871505 8.61782839185118 8.6174396315911 8.61704260534531 8.61663748782683 8.61622445730926 8.61580369554837 8.61537538770209 8.61493972224903 8.61449689090555 8.61404708854139 8.6135905130939 8.61312736548098 8.61265784951261 8.61218217180122 8.61170054167072 8.61121317106441 8.51032271617763
3;1;1;8.499841443064994 8.500162091270619 8.499558913837703 8.49797341076625 8.497921573266249 8.496996992305206 8.497106129805207 8.502797647736084 8.502865885236085 8.506967678444333 8.507425225698862 8.507412548555335;47.421013358780385 47.42094519383121 47.42077269996944 47.41916223552843 47.41910300636176 47.41740439141258 47.417314070579245 47.4088090422209 47.40881868805423 47.40817319388361 47.40842156397136 47.40839137110055;47.4590607732435 47.5030290109538;8.56522597085003 8.51032271617763
3;1;1;8.499841443064994 8.499651785857186 8.503292425 8.50465511875 8.505001012500001 8.505994875 8.506691253034708 8.507400067485918 8.507435289270626 8.507412548555335;47.421013358780385 47.420964484161516 47.41963764375 47.4186703625 47.4177897625 47.41105045625 47.41026944194378 47.408289030962976 47.40843622290677 47.40839137110055;47.5030290109538 47.4590607732435;8.51032271617763 8.56522597085004
1;3;1;8.507412548555333 8.507745841286022 8.507671294447658 8.506996769609415 8.5056021574882 8.505607893851836 8.501203127825299 8.501348399291663 8.501276593231056 8.50002203178439 8.499841443064994;47.40839137110055 47.408238719654975 47.408440679857954 47.41050305279397 47.41301067097579 47.413098825521246 47.420306312631126 47.42070041422756 47.42065408695483 47.420978694079736 47.421013358780385;47.40839137110055 47.408238719654975 47.408440679857954 47.41050305279397 47.41301067097579 47.413098825521246 47.420306312631126 47.42070041422756 47.42065408695483 47.420978694079736 47.421013358780385;8.507412548555333 8.507745841286022 8.507671294447658 8.506996769609415 8.5056021574882 8.505607893851836 8.501203127825299 8.501348399291663 8.501276593231056 8.50002203178439 8.499841443064994
5;6;1;8.45618101496828 8.456654571974624 8.46486066425 8.4647898303125;47.39906608068079 47.39911430454463 47.392978084250004 47.3926001303125;47.3680263771148 47.3982249030148;8.34686534577227 8.32428242888979
6;5;1;8.464789830312501 8.4651157860625 8.458008608980968 8.456187791974624 8.45618101496828;47.3926001303125 47.39445208606249 47.39868958840847 47.39905226454463 47.39906608068079;47.3926001303125 47.39445208606249 47.39868958840847 47.39905226454463 47.39906608068079;8.464789830312501 8.4651157860625 8.458008608980968 8.456187791974624 8.45618101496828
5;3;1;8.45618101496828 8.455928004989426 8.497702495376663 8.499849328709997 8.500481595376662 8.499841443064994;47.39906608068079 47.40462806022693 47.42259197252026 47.421495472520256 47.42106623918693 47.421013358780385;47.5030290109538 47.4973357417821 47.4969816065729 47.4966355219661 47.4962977464991 47.4959685325017 47.4956481259083 47.4953367660737 47.4950346855945 47.4947421101353 47.49445925826 47.4941863412689 47.4939235630405 47.493671119879 47.4934292003685 47.493197985231 47.4929776471924 47.4927683508528 47.4925702525638 47.4923835003117 47.4922082336069 47.4920445833797 47.4918926718826 47.4917526125986 47.491624510157 47.4915084602546 47.4914045495848 47.4913128557724 47.491233447316 47.4911663835363 47.4911117145324 47.4910694811439 47.4880111499796 47.4879619411869 47.487897356257 47.4878174507186 47.4877222932729 47.4876119657344 47.4874865629606 47.4873461927702 47.4871909758508 47.4870210456548 47.4868365482849 47.4866376423681 47.48642449892 47.4861973011969 47.485956244539 47.485701536202 47.4854333951791 47.4851520520127 47.484857748596 47.4845507379653 47.4842312840823 47.483899661607 47.4835561556618 47.4832010615865 47.4828346846838 47.4824573399574 47.4820693518407 47.4816710539183 47.4812627886388 47.4808449070207 47.4804177683502 47.3982249030148;8.51032271617763 8.5036369304311 8.50320944921715 8.50276784819588 8.50231245725854 8.50184361659797 8.50136167645439 8.5008669968538 8.50035994733902 8.49984090669361 8.49931026265894 8.49876841164449 8.49821575843177 8.49765271587188 8.49707970457714 8.49649715260687 8.49590549514757 8.49530517418788 8.49469663818839 8.49408034174658 8.49345674525726 8.49282631456863 8.49218952063429 8.49154683916137 8.49089875025522 8.49024573806072 8.48958829040064 8.48892689841117 8.48826205617505 8.48759426035249 8.48692400981012 8.48625180524835 8.42908263728559 8.4283078633854 8.42753555102233 8.42676636421523 8.4260009642957 8.42524000933941 8.42448415360036 8.42373404694835 8.4229903343102 8.42225365511532 8.42152464274588 8.42080392399226 8.42009211851418 8.41938983830789 8.41869768717999 8.41801626022831 8.41734614333024 8.41668791263902 8.41604213408835 8.41540936290584 8.41479014313561 8.41418500717056 8.41359447529459 8.41301905523532 8.41245924172751 8.41191551608773 8.4113883458005 8.41087818411641 8.41038546966234 8.40991062606445 8.40945406158383 8.32428242888979
3;8;1;8.499841443064994 8.494672999999999 8.422918756249999 8.426651912499999;47.421013358780385 47.42427175 47.38493508875 47.3804596775;47.3409445058877 47.3645473266832 47.3652398283311 47.3659388475887 47.3666432802984 47.3673520137516 47.3680639284463 47.3687778998554 47.3694928002033 47.3702075002468 47.3709208710591 47.3716317858132 47.3723391215616 47.3730417610101 47.3737385942825 47.3744285206743 47.3751104503908 47.3757833062685 47.376446025477 47.3770975611976 47.3777368842768 47.3783629848518 47.378974873946 47.379571585031 47.380152175553 47.3807157284224 47.3812613534616 47.3817881888116 47.3822954022933 47.3827821927217 47.3832477911718 47.3836914621933 47.5030290109538;8.27916914625111 8.26951826593541 8.26925653534026 8.26903552141218 8.2688555732606 8.26871697512822 8.26861994594205 8.26856463896755 8.26855114156659 8.26857947505939 8.26864959469091 8.26876138970151 8.26891468350188 8.26910923395204 8.26934473374376 8.26962081088602 8.26993702929256 8.27029288947075 8.27068782931057 8.2711212249725 8.27159239187291 8.27210058576547 8.27264500391667 8.27322478637388 8.27383901732366 8.27448672653839 8.2751668909088 8.27587843606008 8.27662023804893 8.27739112513891 8.27818987965133 8.2790152398886 8.51032271617763
8;3;1;8.426651912499999 8.426532234375 8.421234828125 8.421760978125 8.500465582298746 8.499841443064994;47.3804596775 47.381089183125 47.389386569375 47.391866544375 47.420984419085286 47.421013358780385;47.3804596775 47.381089183125 47.389386569375 47.391866544375 47.420984419085286 47.421013358780385;8.426651912499999 8.426532234375 8.421234828125 8.421760978125 8.500465582298746 8.499841443064994
3;5;1;8.499841443064994 8.497276896532497 8.444599875 8.447127049999999 8.4496505 8.45618101496828;47.421013358780385 47.423079654390186 47.413390299999996 47.412791299999995 47.403003575 47.39906608068079;47.5030290109538 47.4553752316146 47.4550518860809 47.4546925298215 47.4542979498462 47.4538690103069 47.4534066506045 47.4529118833321 47.452385792057 47.4518295289479 47.4512443122515 47.4506314236242 47.4499922053258 47.4493280572791 47.4486404340048 47.4479308414354 47.4472008336175 47.446452009308 47.4456860084732 47.4449045086968 47.4441092215059 47.4433018886231 47.4424842781515 47.4416581807027 47.4408254054753 47.4399877762927 47.4391471276084 47.438305300489 47.4374641385821 47.4366254840782 47.4357911736764 47.4349630345622 47.3982249030148;8.51032271617763 8.32943161830829 8.32828573951135 8.32716341736339 8.32606710981127 8.32499921782849 8.32396208015687 8.32295796818462 8.32198908097185 8.32105754043454 8.3201653866974 8.31931457362588 8.31850696454715 8.31774432816922 8.31702833470748 8.31636055222674 8.31574244320716 8.31517536134128 8.31466054856938 8.3141991323596 8.31379212323866 8.31344041257878 8.31314477064554 8.31290584491094 8.31272415863541 8.31260010972181 8.31253396984406 8.31252588385209 8.31257586945468 8.31268381718063 8.3128494906185 8.31307252693441 8.32428242888979
